,ERF,ERFariSW,ERFaciSW,ERFariLW,ERFaciLW,albedo,ERFari,ERFaci,residual
1859,-0.026581704732481126,-0.003337547947135441,0.020075469832551783,-0.053576828802572765,0.035449826658539595,-0.024722900553042982,-0.05691437674970821,0.05552529649109138,-0.0004697239208213133
1860,0.07764665944094953,-0.008988906904489183,0.16349119277858953,0.01914957076717669,-0.04942003328587749,-0.04606092334459884,0.010160663862687509,0.11407115949271204,-0.0005242405698511754
1861,-0.27591711390037577,-0.0096781835519786,-0.0635757784124349,-0.10782086908763705,-0.06933446814396559,-0.025355315209174677,-0.11749905263961564,-0.1329102465564005,-0.00015249949518496633
1862,-0.18504486905432846,-0.021020791550395716,-0.10685984682488342,-0.025895311847522154,0.027384375140638243,-0.05850564178445707,-0.046916103397917866,-0.07947547168424518,-0.00014765218770832617
1863,0.009490420365486842,-0.020127351232441085,-0.0021611629308241924,0.025213777180273,0.03138919396296048,-0.022018122409474705,0.005086425947831916,0.029228031032136285,-0.0028059142050066536
1864,0.0502512049984312,-0.025257158449805785,-0.13168401398619545,0.09598516752611115,0.08973162077967635,0.018855918267632322,0.07072800907630536,-0.0419523932065191,0.0026196708610126164
1865,0.09090007060167725,-0.01941478045318938,-0.04049465978978208,0.004218013135694117,0.1621018761319948,-0.01024921244352565,-0.015196767317495264,0.12160721634221272,-0.0052611659795145545
1866,0.2490214538468698,-0.022214041168430707,0.16863413884960057,0.1549150429868896,-0.032325600567402815,-0.014718827684542624,0.1327010018184589,0.13630853828219774,-0.005269258569244217
1867,0.04435055477901413,-0.010276395511546133,0.050128631624848936,0.018972882297737404,0.004881168816373959,-0.01378161205461796,0.008696486786191272,0.055009800441222896,-0.005574120393782073
1868,0.11254806290421111,-0.0683339363805921,0.034571749367127244,0.11061706798509965,0.03730670261643867,-0.005041856092397505,0.04228313160450756,0.0718784519835659,0.0034283354085351565
1869,-0.06682469211433066,-0.057916989065064706,0.025092592629262663,-0.10939595293003727,0.04992801713332518,0.030494905687616987,-0.167312941995102,0.07502060976258784,-0.005027265569433496
1870,-0.03629498245585131,-0.07842176599846525,0.08867044040221986,0.043611161495342964,-0.05431513436389322,-0.029511147508327378,-0.03481060450312228,0.034355306038326636,-0.006328536482728287
1871,0.022618458807145952,-0.0707560098123286,0.15904483303525788,0.06351866746530326,-0.11623521987870275,-0.00681672374479969,-0.007237342347025347,0.042809613156555126,-0.006137088257584138
1872,0.008271625117596926,-0.04671012496009264,0.09896097288426403,-0.08065164031298017,0.025177076361138417,0.010858532007704374,-0.1273617652730728,0.12413804924540245,0.0006368091375629163
1873,0.29594762712578426,-0.028256676845211673,0.07603884581497823,0.1929010180610356,0.0420418042776131,0.015654294030567208,0.16464434121582394,0.11808065009259133,-0.0024316582131982192
1874,-0.024917931232917558,-0.03839279450322781,-0.08515800162257114,0.08449682925403358,0.009719443172392284,0.0057829376188008345,0.046104034750805774,-0.07543855845017886,-0.0013663451523453106
1875,0.03934188289922126,-0.023672270239941225,-0.02329326969580797,0.09414576521087151,0.032994803327423036,-0.03475222531091591,0.07047349497093028,0.009701533631615068,-0.006080920392408172
1876,0.2800937996203729,0.017697554259704564,0.3180391852493852,0.05825787391236378,-0.0926655004159913,-0.020516442215311004,0.07595542817206835,0.22537368483339387,-0.0007188711697783227
1877,-0.013305685239105608,-0.022919713072075184,-0.00019464776523262206,-0.06307997598469478,0.04454201467555056,0.029365292996824485,-0.08599968905676997,0.04434736691031794,-0.0010186560894780636
1878,0.0012439400020797858,-0.07614323880397464,0.17504165182380552,-0.008866326634333115,-0.10905306803216706,0.02218778596708099,-0.08500956543830776,0.06598858379163845,-0.0019228643183319023
